"ident",  "country", "latitude_deg", "longitude_deg"
HOUND, ALABAMA, 31.0844, -85.7278
HOVEN, ALABAMA, 31.6639, -87.3261
HRTUN, ALABAMA, 34.5486, -88.0633
HUBGO, ALABAMA, 30.4847, -87.9028
HUBIG, ALABAMA, 32.4297, -86.4008
HUBJU, ALABAMA, 34.0811, -85.8528
HUDLY, ALABAMA, 32.9817, -88.3144
HUKEV, ALABAMA, 33.6458, -86.6131
HUPOK, ALABAMA, 34.6553, -87.3644
HUTCC, ALABAMA, 34.6319, -87.4286
HUTIP, ALABAMA, 30.6892, -88.1367
HUTIT, ALABAMA, 30.655, -88.1061
HUTUN, ALABAMA, 34.8303, -86.5936
HUXEB, ALABAMA, 32.4092, -87.3481
HUXUP, ALABAMA, 30.29, -87.7133
ICECA, ALABAMA, 32.6392, -85.1378
ICOTE, ALABAMA, 32.2775, -86.1367
IFUJU, ALABAMA, 30.4642, -88.3486
IGUBE, ALABAMA, 31.7047, -85.8731
IHOVU, ALABAMA, 30.6422, -88.0642
IKAGE, ALABAMA, 31.7444, -85.1442
IKIMY, ALABAMA, 33.3797, -86.8311
ILAPY, ALABAMA, 30.2806, -87.9111
IMEXE, ALABAMA, 33.1694, -86.0583
IMOBY, ALABAMA, 33.4033, -86.7467
IMTOY, ALABAMA, 33.6064, -86.7469
INCHU, ALABAMA, 32.5592, -86.4336
INOVE, ALABAMA, 33.3822, -88.1767
INUME, ALABAMA, 31.2828, -85.4453
INYAG, ALABAMA, 31.2717, -88.03
IPAPE, ALABAMA, 30.4789, -88.2364
IPUDE, ALABAMA, 34.8853, -86.7311
IROSY, ALABAMA, 33.4181, -87.5353
ISBAW, ALABAMA, 34.4853, -85.7097
ISOJO, ALABAMA, 33.4275, -87.2119
ISOPY, ALABAMA, 32.0458, -86.6817
ISRAW, ALABAMA, 31.78, -86.5453
ITCIB, ALABAMA, 31.535, -87.8842
ITIYU, ALABAMA, 34.6325, -86.6744
ITUYU, ALABAMA, 31.0264, -86.675
ITWAN, ALABAMA, 32.6728, -86.3417
ITYOJ, ALABAMA, 34.9192, -85.7589
IVCOB, ALABAMA, 31.1808, -85.2786
IVGIF, ALABAMA, 31.1814, -85.5842
IVIJI, ALABAMA, 32.835, -86.6997
IVLUH, ALABAMA, 31.9781, -87.0411
IVUWE, ALABAMA, 31.9153, -85.3219
IVWEL, ALABAMA, 34.2461, -88.1389
IVYIF, ALABAMA, 33.5192, -87.1386
IVZAF, ALABAMA, 33.9203, -86.9103
IWAVE, ALABAMA, 31.1281, -85.9964
IWFIM, ALABAMA, 34.6017, -87.4294
IWIBY, ALABAMA, 34.5128, -85.6514
IWIGY, ALABAMA, 34.6936, -85.9372
IXMIX, ALABAMA, 33.6628, -88.0589
IXUSE, ALABAMA, 32.9697, -86.7869
IYUKO, ALABAMA, 31.9011, -86.0431
JABAK, ALABAMA, 30.6139, -88.1803
JAGPA, ALABAMA, 33.9178, -87.9058
JAILS, ALABAMA, 32.3128, -87.595
JALES, ALABAMA, 31.5342, -87.3003
JALOV, ALABAMA, 31.7861, -85.945
JALSO, ALABAMA, 31.3172, -87.0572
JAMMR, ALABAMA, 33.2319, -86.9422
JAMUD, ALABAMA, 33.7039, -85.6036
JAMUP, ALABAMA, 31.2289, -85.8067
JANES, ALABAMA, 31.7658, -88.435
JANVU, ALABAMA, 31.8747, -85.9708
JAPAM, ALABAMA, 33.2775, -86.8753
JAPIX, ALABAMA, 31.1683, -85.2728
JARVA, ALABAMA, 33.7675, -87.8119
JASEX, ALABAMA, 34.8281, -86.7783
JAVIV, ALABAMA, 32.4481, -86.0883
JAVJA, ALABAMA, 33.3208, -87.4189
JAYSZ, ALABAMA, 31.2594, -86.1167
JAZZU, ALABAMA, 31.2869, -86.3094
JCKEE, ALABAMA, 34.4458, -86.0764
JDRIG, ALABAMA, 31.0689, -85.6197
JEDAM, ALABAMA, 31.0664, -87.4467
JEDOM, ALABAMA, 32.4925, -85.2469
JEDOP, ALABAMA, 32.1183, -86.1689
JEFER, ALABAMA, 31.9828, -86.6472
JEFRS, ALABAMA, 33.9078, -86.1967
JEMER, ALABAMA, 32.44, -86.3767
JEMUR, ALABAMA, 33.2003, -87.5472
JENOG, ALABAMA, 34.6819, -87.4164
JERYS, ALABAMA, 30.3081, -88.0833
JESMU, ALABAMA, 31.455, -87.0422
JIBEL, ALABAMA, 31.6964, -87.9539
JIBIK, ALABAMA, 31.2461, -87.8378
JIGID, ALABAMA, 32.2047, -88.3369
JIGPO, ALABAMA, 33.6678, -85.5994
JILED, ALABAMA, 34.5656, -85.6292
JILLS, ALABAMA, 33.3239, -87.7464
JIMGO, ALABAMA, 33.6117, -87.8203
JIVAR, ALABAMA, 33.8094, -88.1039
JKSON, ALABAMA, 34.3367, -86.1497
JMPER, ALABAMA, 32.2639, -84.9306
JOANN, ALABAMA, 31.9858, -86.3586
JOBTA, ALABAMA, 34.8328, -87.845
JODAT, ALABAMA, 33.8647, -86.3164
JOEYE, ALABAMA, 33.4925, -87.3442
JOGAM, ALABAMA, 33.0586, -88.3028
JOGUV, ALABAMA, 34.9672, -85.9519
JOHNY, ALABAMA, 34.1917, -87.1953
JOLUM, ALABAMA, 31.7542, -87.3353
JONAL, ALABAMA, 31.1747, -85.9186
JOPED, ALABAMA, 34.3122, -86.4997
JOPEK, ALABAMA, 33.4242, -87.5092
JOPIB, ALABAMA, 33.1136, -85.9731
JOSEP, ALABAMA, 34.2614, -86.6261
JOSOV, ALABAMA, 32.1308, -86.2339
JOTAV, ALABAMA, 33.605, -86.3067
JOTEN, ALABAMA, 30.6453, -88.2064
JOVOK, ALABAMA, 31.5383, -88.3678
JOYER, ALABAMA, 34.97, -86.5881
JUBKI, ALABAMA, 32.8689, -85.9606
JUDEP, ALABAMA, 30.2903, -87.6119
JUKES, ALABAMA, 32.5561, -86.4794
JUKVO, ALABAMA, 33.3561, -86.8725
JUMKU, ALABAMA, 33.5883, -87.9789
